course_id,course_code,course_name,enrollment_id,enrollment_status,start_date,completion_date,student_id,service_number,first_name,last_name,email,rank,student_status,company_name,contact_number,gender,date_of_birth
10,TAC-354,Tactics Qui 4,26,Completed,2025-06-02,2025-07-24,7,SN-2025-9118,Nozizwe,Marshall,nozizwe.marshall@qwabe.biz,Private,Active,Company Saepe 36,+27 82 801 1077,Male,1999-04-09
12,TAC-960,Tactics Ipsa 3,27,Failed,2025-03-28,2025-06-06,8,SN-2022-8830,Nobuhle,Moyo,nobuhle.moyo@wright-whitehouse.com,Private,Active,Company Sunt 93,+27 84 306 7302,Male,2007-08-13
17,INT-234,Intelligence In 2,28,Failed,2025-01-15,2025-03-19,8,SN-2022-8830,Nobuhle,Moyo,nobuhle.moyo@wright-whitehouse.com,Private,Active,Company Sunt 93,+27 84 306 7302,Male,2007-08-13
1,INT-179,Intelligence Occaecati 4,29,Completed,2025-11-23,2026-02-03,8,SN-2022-8830,Nobuhle,Moyo,nobuhle.moyo@wright-whitehouse.com,Private,Active,Company Sunt 93,+27 84 306 7302,Male,2007-08-13
2,ENG-406,Engineering Impedit 2,30,Failed,2025-12-18,2026-03-17,8,SN-2022-8830,Nobuhle,Moyo,nobuhle.moyo@wright-whitehouse.com,Private,Active,Company Sunt 93,+27 84 306 7302,Male,2007-08-13
7,TAC-12,Tactics Cumque 1,31,Completed,2025-07-06,2025-09-22,8,SN-2022-8830,Nobuhle,Moyo,nobuhle.moyo@wright-whitehouse.com,Private,Active,Company Sunt 93,+27 84 306 7302,Male,2007-08-13
27,TAC-105,Tactics Odio 3,32,Completed,2026-01-07,2026-03-14,9,SN-2024-3429,Zanele,Venter,zanele.venter@kennedy-parkinson.com,Cadet,Active,Company Architecto 12,+27 61 742 4748,Female,2003-05-10
11,INT-616,Intelligence Laboriosam 4,33,Failed,2025-07-13,2025-09-28,9,SN-2024-3429,Zanele,Venter,zanele.venter@kennedy-parkinson.com,Cadet,Active,Company Architecto 12,+27 61 742 4748,Female,2003-05-10
4,TAC-784,Tactics Harum 4,34,Completed,2026-01-04,2026-03-01,9,SN-2024-3429,Zanele,Venter,zanele.venter@kennedy-parkinson.com,Cadet,Active,Company Architecto 12,+27 61 742 4748,Female,2003-05-10
7,TAC-12,Tactics Cumque 1,35,Failed,2025-04-01,2025-06-02,9,SN-2024-3429,Zanele,Venter,zanele.venter@kennedy-parkinson.com,Cadet,Active,Company Architecto 12,+27 61 742 4748,Female,2003-05-10
15,LEA-49,Leadership Neque 4,36,Completed,2025-04-28,2025-07-06,10,SN-2022-6514,Riaan,Venter,riaan.venter@macdonald-vaughan.com,Cadet,Active,Company Id 33,+27 81 324 3975,Male,2006-05-14
29,ENG-19,Engineering Similique 1,37,Completed,2025-08-06,2025-09-14,10,SN-2022-6514,Riaan,Venter,riaan.venter@macdonald-vaughan.com,Cadet,Active,Company Id 33,+27 81 324 3975,Male,2006-05-14
1,INT-179,Intelligence Occaecati 4,38,Failed,2025-02-08,2025-04-09,10,SN-2022-6514,Riaan,Venter,riaan.venter@macdonald-vaughan.com,Cadet,Active,Company Id 33,+27 81 324 3975,Male,2006-05-14
20,ENG-258,Engineering Deleniti 5,39,Completed,2025-11-04,2025-12-12,11,SN-2020-1081,Clifford,Nyambose,clifford.nyambose@mshengu-mcambi.biz,Recruit,Active,Company Adipisci 10,+27 79 790 4565,Female,2003-07-04
21,INT-540,Intelligence Pariatur 1,40,Failed,2025-12-26,2026-03-23,11,SN-2020-1081,Clifford,Nyambose,clifford.nyambose@mshengu-mcambi.biz,Recruit,Active,Company Adipisci 10,+27 79 790 4565,Female,2003-07-04
1,INT-179,Intelligence Occaecati 4,41,Completed,2025-07-09,2025-09-25,11,SN-2020-1081,Clifford,Nyambose,clifford.nyambose@mshengu-mcambi.biz,Recruit,Active,Company Adipisci 10,+27 79 790 4565,Female,2003-07-04
19,WEA-297,Weapons Doloremque 4,42,Failed,2025-10-18,2025-12-05,11,SN-2020-1081,Clifford,Nyambose,clifford.nyambose@mshengu-mcambi.biz,Recruit,Active,Company Adipisci 10,+27 79 790 4565,Female,2003-07-04
23,INT-111,Intelligence Est 2,43,Completed,2025-03-27,2025-05-12,11,SN-2020-1081,Clifford,Nyambose,clifford.nyambose@mshengu-mcambi.biz,Recruit,Active,Company Adipisci 10,+27 79 790 4565,Female,2003-07-04
30,ENG-671,Engineering Eum 4,44,Completed,2025-10-19,2026-01-03,12,SN-2023-4858,Caroline,Mkhonza,caroline.mkhonza@dunn-roberts.com,Cadet,Active,Company Sunt 93,+27 79 568 2245,Male,1998-04-24
15,LEA-49,Leadership Neque 4,45,Failed,2025-11-28,2026-01-02,12,SN-2023-4858,Caroline,Mkhonza,caroline.mkhonza@dunn-roberts.com,Cadet,Active,Company Sunt 93,+27 79 568 2245,Male,1998-04-24
29,ENG-19,Engineering Similique 1,46,Completed,2025-08-14,2025-11-08,12,SN-2023-4858,Caroline,Mkhonza,caroline.mkhonza@dunn-roberts.com,Cadet,Active,Company Sunt 93,+27 79 568 2245,Male,1998-04-24
2,ENG-406,Engineering Impedit 2,47,Completed,2025-10-20,2025-12-05,12,SN-2023-4858,Caroline,Mkhonza,caroline.mkhonza@dunn-roberts.com,Cadet,Active,Company Sunt 93,+27 79 568 2245,Male,1998-04-24
20,ENG-258,Engineering Deleniti 5,48,Failed,2025-05-24,2025-07-23,12,SN-2023-4858,Caroline,Mkhonza,caroline.mkhonza@dunn-roberts.com,Cadet,Active,Company Sunt 93,+27 79 568 2245,Male,1998-04-24
28,TAC-550,Tactics Cumque 1,49,Completed,2025-11-30,2026-02-09,13,SN-2023-6326,Natasha,Dludla,natasha.dludla@newman-miah.info,Recruit,Active,Company Adipisci 10,+27 62 872 2870,Male,1997-09-07
4,TAC-784,Tactics Harum 4,50,Completed,2025-08-01,2025-10-26,13,SN-2023-6326,Natasha,Dludla,natasha.dludla@newman-miah.info,Recruit,Active,Company Adipisci 10,+27 62 872 2870,Male,1997-09-07
20,ENG-258,Engineering Deleniti 5,51,Failed,2025-10-18,2026-01-01,13,SN-2023-6326,Natasha,Dludla,natasha.dludla@newman-miah.info,Recruit,Active,Company Adipisci 10,+27 62 872 2870,Male,1997-09-07
19,WEA-297,Weapons Doloremque 4,52,Completed,2025-09-09,2025-10-20,13,SN-2023-6326,Natasha,Dludla,natasha.dludla@newman-miah.info,Recruit,Active,Company Adipisci 10,+27 62 872 2870,Male,1997-09-07
30,ENG-671,Engineering Eum 4,53,Failed,2025-06-11,2025-07-20,14,SN-2024-7733,Zibuyile,Mnomiya,zibuyile.mnomiya@george.com,Cadet,Active,Company Adipisci 10,+27 74 173 3631,Male,1998-09-20
26,WEA-874,Weapons Odit 3,54,Completed,2025-08-19,2025-11-06,14,SN-2024-7733,Zibuyile,Mnomiya,zibuyile.mnomiya@george.com,Cadet,Active,Company Adipisci 10,+27 74 173 3631,Male,1998-09-20
21,INT-540,Intelligence Pariatur 1,55,Completed,2025-07-14,2025-10-01,14,SN-2024-7733,Zibuyile,Mnomiya,zibuyile.mnomiya@george.com,Cadet,Active,Company Adipisci 10,+27 74 173 3631,Male,1998-09-20
12,TAC-960,Tactics Ipsa 3,56,Completed,2025-11-11,2026-01-01,14,SN-2024-7733,Zibuyile,Mnomiya,zibuyile.mnomiya@george.com,Cadet,Active,Company Adipisci 10,+27 74 173 3631,Male,1998-09-20
6,INT-623,Intelligence Unde 1,57,Failed,2025-01-31,2025-04-25,14,SN-2024-7733,Zibuyile,Mnomiya,zibuyile.mnomiya@george.com,Cadet,Active,Company Adipisci 10,+27 74 173 3631,Male,1998-09-20
27,TAC-105,Tactics Odio 3,58,Failed,2025-02-12,2025-04-10,15,SN-2024-1126,Nyasha,Morgan,nyasha.morgan@lubelo-mpunzana.com,Cadet,Active,Company Architecto 12,+27 60 312 4461,Male,2006-01-06
4,TAC-784,Tactics Harum 4,59,Completed,2025-12-28,2026-02-21,15,SN-2024-1126,Nyasha,Morgan,nyasha.morgan@lubelo-mpunzana.com,Cadet,Active,Company Architecto 12,+27 60 312 4461,Male,2006-01-06
20,ENG-258,Engineering Deleniti 5,60,Completed,2025-07-14,2025-08-24,15,SN-2024-1126,Nyasha,Morgan,nyasha.morgan@lubelo-mpunzana.com,Cadet,Active,Company Architecto 12,+27 60 312 4461,Male,2006-01-06
3,TAC-160,Tactics Reprehenderit 4,61,Completed,2025-12-19,2026-03-04,15,SN-2024-1126,Nyasha,Morgan,nyasha.morgan@lubelo-mpunzana.com,Cadet,Active,Company Architecto 12,+27 60 312 4461,Male,2006-01-06
3,TAC-160,Tactics Reprehenderit 4,62,Completed,2025-12-11,2026-01-13,16,SN-2024-3069,Johan,Coetzee,johan.coetzee@baker.com,Cadet,Active,Company Adipisci 10,+27 83 231 9570,Male,1997-10-20
27,TAC-105,Tactics Odio 3,63,Failed,2025-06-06,2025-07-30,16,SN-2024-3069,Johan,Coetzee,johan.coetzee@baker.com,Cadet,Active,Company Adipisci 10,+27 83 231 9570,Male,1997-10-20
15,LEA-49,Leadership Neque 4,64,Completed,2025-01-18,2025-02-18,16,SN-2024-3069,Johan,Coetzee,johan.coetzee@baker.com,Cadet,Active,Company Adipisci 10,+27 83 231 9570,Male,1997-10-20
10,TAC-354,Tactics Qui 4,65,Failed,2025-06-30,2025-09-19,16,SN-2024-3069,Johan,Coetzee,johan.coetzee@baker.com,Cadet,Active,Company Adipisci 10,+27 83 231 9570,Male,1997-10-20
23,INT-111,Intelligence Est 2,66,Completed,2025-06-18,2025-09-15,17,SN-2021-3717,Lerato,Mabuyakhulu,lerato.mabuyakhulu@nonkululeko.com,Recruit,Active,Company Saepe 36,+27 73 691 1237,Male,2006-09-12
2,ENG-406,Engineering Impedit 2,67,Failed,2025-03-27,2025-06-06,17,SN-2021-3717,Lerato,Mabuyakhulu,lerato.mabuyakhulu@nonkululeko.com,Recruit,Active,Company Saepe 36,+27 73 691 1237,Male,2006-09-12
13,ENG-947,Engineering Quasi 2,68,Failed,2025-05-25,2025-06-24,17,SN-2021-3717,Lerato,Mabuyakhulu,lerato.mabuyakhulu@nonkululeko.com,Recruit,Active,Company Saepe 36,+27 73 691 1237,Male,2006-09-12
25,LEA-987,Leadership Corporis 2,69,Completed,2025-11-02,2025-12-07,18,SN-2024-3537,Noxolo,Ncube,noxolo.ncube@mbutho.com,Cadet,Active,Company Saepe 36,+27 73 815 3534,Female,2006-09-22
17,INT-234,Intelligence In 2,70,Completed,2025-01-17,2025-02-16,18,SN-2024-3537,Noxolo,Ncube,noxolo.ncube@mbutho.com,Cadet,Active,Company Saepe 36,+27 73 815 3534,Female,2006-09-22
1,INT-179,Intelligence Occaecati 4,71,Completed,2025-12-20,2026-03-14,18,SN-2024-3537,Noxolo,Ncube,noxolo.ncube@mbutho.com,Cadet,Active,Company Saepe 36,+27 73 815 3534,Female,2006-09-22
14,INT-386,Intelligence Consequatur 5,72,Completed,2025-05-12,2025-06-13,19,SN-2021-7522,Nandi,Rogers,nandi.rogers@mlangeni-gxabhashe.com,Private,Active,Company Saepe 36,+27 79 860 7675,Male,1996-07-06
19,WEA-297,Weapons Doloremque 4,73,Completed,2025-08-11,2025-09-18,19,SN-2021-7522,Nandi,Rogers,nandi.rogers@mlangeni-gxabhashe.com,Private,Active,Company Saepe 36,+27 79 860 7675,Male,1996-07-06
21,INT-540,Intelligence Pariatur 1,74,Failed,2025-09-16,2025-12-05,19,SN-2021-7522,Nandi,Rogers,nandi.rogers@mlangeni-gxabhashe.com,Private,Active,Company Saepe 36,+27 79 860 7675,Male,1996-07-06
28,TAC-550,Tactics Cumque 1,75,Failed,2025-12-23,2026-03-07,19,SN-2021-7522,Nandi,Rogers,nandi.rogers@mlangeni-gxabhashe.com,Private,Active,Company Saepe 36,+27 79 860 7675,Male,1996-07-06
1,INT-179,Intelligence Occaecati 4,76,Completed,2025-08-08,2025-10-23,20,SN-2023-4164,Sipho,Ntshiza,sipho.ntshiza@mlotshwa.info,Recruit,Active,Company Saepe 36,+27 83 158 1354,Female,2002-02-15
13,ENG-947,Engineering Quasi 2,77,Completed,2025-08-29,2025-10-23,20,SN-2023-4164,Sipho,Ntshiza,sipho.ntshiza@mlotshwa.info,Recruit,Active,Company Saepe 36,+27 83 158 1354,Female,2002-02-15
15,LEA-49,Leadership Neque 4,78,Failed,2025-12-07,2026-02-22,20,SN-2023-4164,Sipho,Ntshiza,sipho.ntshiza@mlotshwa.info,Recruit,Active,Company Saepe 36,+27 83 158 1354,Female,2002-02-15
12,TAC-960,Tactics Ipsa 3,79,Completed,2025-03-13,2025-04-13,21,SN-2024-7088,Zinhle,Ntombela,zinhle.ntombela@quinn-cox.info,Private,Active,Company Architecto 12,+27 79 954 9941,Female,2004-11-14
1,INT-179,Intelligence Occaecati 4,80,Completed,2025-12-19,2026-02-18,21,SN-2024-7088,Zinhle,Ntombela,zinhle.ntombela@quinn-cox.info,Private,Active,Company Architecto 12,+27 79 954 9941,Female,2004-11-14
6,INT-623,Intelligence Unde 1,81,Completed,2026-01-02,2026-03-01,21,SN-2024-7088,Zinhle,Ntombela,zinhle.ntombela@quinn-cox.info,Private,Active,Company Architecto 12,+27 79 954 9941,Female,2004-11-14
17,INT-234,Intelligence In 2,82,Completed,2025-08-27,2025-10-28,22,SN-2024-2931,Sphiwe,Clements,sphiwe.clements@jones.biz,Private,Active,Company Architecto 12,+27 82 231 6892,Female,2007-03-29
12,TAC-960,Tactics Ipsa 3,83,Failed,2025-01-24,2025-03-28,22,SN-2024-2931,Sphiwe,Clements,sphiwe.clements@jones.biz,Private,Active,Company Architecto 12,+27 82 231 6892,Female,2007-03-29
13,ENG-947,Engineering Quasi 2,84,Completed,2025-04-12,2025-05-22,22,SN-2024-2931,Sphiwe,Clements,sphiwe.clements@jones.biz,Private,Active,Company Architecto 12,+27 82 231 6892,Female,2007-03-29
20,ENG-258,Engineering Deleniti 5,85,Completed,2025-09-27,2025-12-12,22,SN-2024-2931,Sphiwe,Clements,sphiwe.clements@jones.biz,Private,Active,Company Architecto 12,+27 82 231 6892,Female,2007-03-29
14,INT-386,Intelligence Consequatur 5,86,Failed,2025-07-10,2025-09-10,22,SN-2024-2931,Sphiwe,Clements,sphiwe.clements@jones.biz,Private,Active,Company Architecto 12,+27 82 231 6892,Female,2007-03-29
17,INT-234,Intelligence In 2,87,Failed,2026-01-05,2026-03-02,23,SN-2024-2113,Owethu,Mhlangu,owethu.mhlangu@madiba.com,Recruit,Active,Company Adipisci 10,+27 63 372 5310,Female,2000-12-14
14,INT-386,Intelligence Consequatur 5,88,Failed,2025-02-26,2025-05-02,23,SN-2024-2113,Owethu,Mhlangu,owethu.mhlangu@madiba.com,Recruit,Active,Company Adipisci 10,+27 63 372 5310,Female,2000-12-14
6,INT-623,Intelligence Unde 1,89,Completed,2025-11-10,2026-01-14,23,SN-2024-2113,Owethu,Mhlangu,owethu.mhlangu@madiba.com,Recruit,Active,Company Adipisci 10,+27 63 372 5310,Female,2000-12-14
25,LEA-987,Leadership Corporis 2,90,Failed,2025-05-20,2025-08-04,23,SN-2024-2113,Owethu,Mhlangu,owethu.mhlangu@madiba.com,Recruit,Active,Company Adipisci 10,+27 63 372 5310,Female,2000-12-14
3,TAC-160,Tactics Reprehenderit 4,91,Completed,2025-04-01,2025-06-23,23,SN-2024-2113,Owethu,Mhlangu,owethu.mhlangu@madiba.com,Recruit,Active,Company Adipisci 10,+27 63 372 5310,Female,2000-12-14
8,TAC-839,Tactics Magni 2,92,Failed,2025-10-21,2025-12-30,24,SN-2025-3862,Brenda,Griffiths,brenda.griffiths@lukhele.com,Private,Active,Company Id 33,+27 61 171 3875,Female,2003-10-21
23,INT-111,Intelligence Est 2,93,Completed,2025-01-26,2025-03-05,24,SN-2025-3862,Brenda,Griffiths,brenda.griffiths@lukhele.com,Private,Active,Company Id 33,+27 61 171 3875,Female,2003-10-21
24,TAC-593,Tactics Eligendi 4,94,Failed,2025-06-24,2025-09-17,24,SN-2025-3862,Brenda,Griffiths,brenda.griffiths@lukhele.com,Private,Active,Company Id 33,+27 61 171 3875,Female,2003-10-21
27,TAC-105,Tactics Odio 3,95,Failed,2025-02-11,2025-04-20,24,SN-2025-3862,Brenda,Griffiths,brenda.griffiths@lukhele.com,Private,Active,Company Id 33,+27 61 171 3875,Female,2003-10-21
20,ENG-258,Engineering Deleniti 5,96,Failed,2025-01-23,2025-03-19,24,SN-2025-3862,Brenda,Griffiths,brenda.griffiths@lukhele.com,Private,Active,Company Id 33,+27 61 171 3875,Female,2003-10-21
1,INT-179,Intelligence Occaecati 4,97,Completed,2025-05-12,2025-07-26,25,SN-2024-3922,Riaan,Foster,riaan.foster@taylor.net,Cadet,Active,Company Sunt 93,+27 74 610 7532,Male,1995-05-22
18,ENG-849,Engineering Natus 3,98,Completed,2025-07-05,2025-09-08,25,SN-2024-3922,Riaan,Foster,riaan.foster@taylor.net,Cadet,Active,Company Sunt 93,+27 74 610 7532,Male,1995-05-22
7,TAC-12,Tactics Cumque 1,99,Completed,2025-06-30,2025-08-12,25,SN-2024-3922,Riaan,Foster,riaan.foster@taylor.net,Cadet,Active,Company Sunt 93,+27 74 610 7532,Male,1995-05-22
9,ENG-738,Engineering Magnam 1,100,Failed,2025-06-10,2025-07-13,25,SN-2024-3922,Riaan,Foster,riaan.foster@taylor.net,Cadet,Active,Company Sunt 93,+27 74 610 7532,Male,1995-05-22
30,ENG-671,Engineering Eum 4,101,Completed,2026-01-08,2026-03-12,25,SN-2024-3922,Riaan,Foster,riaan.foster@taylor.net,Cadet,Active,Company Sunt 93,+27 74 610 7532,Male,1995-05-22
15,LEA-49,Leadership Neque 4,102,Failed,2025-05-19,2025-07-28,26,SN-2023-1189,Thabo,Young,thabo.young@reeves.com,Cadet,Active,Company Architecto 12,+27 71 279 4791,Male,1996-04-06
30,ENG-671,Engineering Eum 4,103,Completed,2025-09-07,2025-10-25,26,SN-2023-1189,Thabo,Young,thabo.young@reeves.com,Cadet,Active,Company Architecto 12,+27 71 279 4791,Male,1996-04-06
4,TAC-784,Tactics Harum 4,104,Completed,2025-12-09,2026-02-13,26,SN-2023-1189,Thabo,Young,thabo.young@reeves.com,Cadet,Active,Company Architecto 12,+27 71 279 4791,Male,1996-04-06
27,TAC-105,Tactics Odio 3,105,Completed,2025-07-28,2025-10-12,27,SN-2020-2615,Mzamo,Curtis,mzamo.curtis@lukhele.com,Private,Active,Company Sunt 93,+27 72 399 3353,Male,1998-09-20
7,TAC-12,Tactics Cumque 1,106,Failed,2025-06-05,2025-08-10,27,SN-2020-2615,Mzamo,Curtis,mzamo.curtis@lukhele.com,Private,Active,Company Sunt 93,+27 72 399 3353,Male,1998-09-20
28,TAC-550,Tactics Cumque 1,107,Completed,2025-05-22,2025-07-16,27,SN-2020-2615,Mzamo,Curtis,mzamo.curtis@lukhele.com,Private,Active,Company Sunt 93,+27 72 399 3353,Male,1998-09-20
6,INT-623,Intelligence Unde 1,108,Failed,2025-01-14,2025-04-08,27,SN-2020-2615,Mzamo,Curtis,mzamo.curtis@lukhele.com,Private,Active,Company Sunt 93,+27 72 399 3353,Male,1998-09-20
25,LEA-987,Leadership Corporis 2,109,Failed,2025-11-30,2026-01-29,27,SN-2020-2615,Mzamo,Curtis,mzamo.curtis@lukhele.com,Private,Active,Company Sunt 93,+27 72 399 3353,Male,1998-09-20
8,TAC-839,Tactics Magni 2,110,Completed,2025-10-25,2025-11-28,28,SN-2025-6768,Lerato,Richards,lerato.richards@mdlenevu.org,Cadet,Active,Company Adipisci 10,+27 84 297 2611,Female,1995-11-26
11,INT-616,Intelligence Laboriosam 4,111,Completed,2025-10-26,2025-12-23,28,SN-2025-6768,Lerato,Richards,lerato.richards@mdlenevu.org,Cadet,Active,Company Adipisci 10,+27 84 297 2611,Female,1995-11-26
21,INT-540,Intelligence Pariatur 1,112,Failed,2025-10-23,2025-12-31,28,SN-2025-6768,Lerato,Richards,lerato.richards@mdlenevu.org,Cadet,Active,Company Adipisci 10,+27 84 297 2611,Female,1995-11-26
7,TAC-12,Tactics Cumque 1,113,Completed,2025-06-24,2025-08-15,28,SN-2025-6768,Lerato,Richards,lerato.richards@mdlenevu.org,Cadet,Active,Company Adipisci 10,+27 84 297 2611,Female,1995-11-26
16,INT-29,Intelligence Debitis 2,114,Completed,2025-07-31,2025-09-17,28,SN-2025-6768,Lerato,Richards,lerato.richards@mdlenevu.org,Cadet,Active,Company Adipisci 10,+27 84 297 2611,Female,1995-11-26
21,INT-540,Intelligence Pariatur 1,115,Failed,2025-07-26,2025-10-14,29,SN-2024-8164,Tinashe,Nyazitla,tinashe.nyazitla@mthembu.com,Recruit,Active,Company Adipisci 10,+27 71 153 5879,Female,1999-05-07
13,ENG-947,Engineering Quasi 2,116,Completed,2025-09-06,2025-11-28,29,SN-2024-8164,Tinashe,Nyazitla,tinashe.nyazitla@mthembu.com,Recruit,Active,Company Adipisci 10,+27 71 153 5879,Female,1999-05-07
17,INT-234,Intelligence In 2,117,Failed,2025-07-03,2025-08-16,29,SN-2024-8164,Tinashe,Nyazitla,tinashe.nyazitla@mthembu.com,Recruit,Active,Company Adipisci 10,+27 71 153 5879,Female,1999-05-07
3,TAC-160,Tactics Reprehenderit 4,118,Completed,2025-01-12,2025-03-06,29,SN-2024-8164,Tinashe,Nyazitla,tinashe.nyazitla@mthembu.com,Recruit,Active,Company Adipisci 10,+27 71 153 5879,Female,1999-05-07
7,TAC-12,Tactics Cumque 1,119,Completed,2025-09-06,2025-10-25,29,SN-2024-8164,Tinashe,Nyazitla,tinashe.nyazitla@mthembu.com,Recruit,Active,Company Adipisci 10,+27 71 153 5879,Female,1999-05-07
24,TAC-593,Tactics Eligendi 4,120,Completed,2025-08-31,2025-10-19,30,SN-2023-7515,Thabani,Ndlangamandla,thabani.ndlangamandla@shah.com,Recruit,Active,Company Saepe 36,+27 63 178 5129,Male,2004-07-05
